method,query_song_name,query_song_genre,match_1,match_1_genre,match_2,match_2_genre,match_3,match_3_genre
raw correlation,Hump Bounce,blues,All I Do,blues,Overjoyed,pop,Day And Night,pop
raw correlation,Intro - The Sermon,blues,Hook,blues,I Don't Want To Talk About It,hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw correlation,Call On Me,blues,G Up,rock,Club Megamix,rock,Hook,blues
raw correlation,Oceans and Streams,blues,Runaway,hip hop,The Car Song,reggae,I Don't Have Time To Stand Here With You Fighting About The Size Of My Dick,pop
raw correlation,10 A.M. Automatic,blues,Bad Tattoo,metal,Dimples,jazz,Only You,r&b/soul
raw correlation,Aeroplane Blues,blues,I Don't Know Where I'm Bound,country,I Am Not A Whore,electronic,16,pop
raw correlation,All Hands Against His Own,blues,Give Me You,r&b/soul,The Stranger Song,folk,New Project,rock
raw correlation,Black Door,blues,I Wanna Know,r&b/soul,Genius,electronic,I Want That,electronic
raw correlation,Busted,blues,Sunshine,hip hop,1-2 Crush On You,punk,Rescue Me,punk
raw correlation,Give Your Heart Away,blues,Heart In The Right Place,pop,Endless love,country,Share My World,r&b/soul
raw correlation,Grown So Ugly,blues,32 20 Blues,blues,Kindhearted Woman Blues,blues,The Dust Of A Town,metal
raw correlation,Hard Row,blues,Othello,reggae,All You Ever Knew,metal,Skynet,metal
raw correlation,I Got Mine,blues,Ain't Nobody,blues,I staden växer inga blommor,pop,I Got Rhythm,pop
raw correlation,If You See Me,blues,Smooth & Sweet,pop,Plastic Halo,pop,Only When ur Lonely,r&b/soul
raw correlation,Lies,blues,I've Always Been A Coward Baby,electronic,Lügen Und Das Ich,electronic,Lies  (LP Version),folk
raw correlation,Next Girl,blues,I Want My Girl,r&b/soul,Be My Girl,electronic,My Little Girl,blues
raw correlation,No Fun,blues,No Fun (Remasterd LP Version),punk,No No No,latin,La Estación,latin
raw correlation,Stack Shot Billy,blues,Who Shot Sam,country,Unintended Long Term Effects,punk,Trudy And Dave,rock
raw correlation,Ten Cent Pistol,blues,Diamond Smiles,rock,Queen Of Hollywood ( LP Version ),pop,Right About Now,country
raw correlation,The Flame,blues,Knew It All Along (Acoustic),folk,Sex Packets (LP Version),hip hop,Interlude 5,r&b/soul
raw correlation,These Days,blues,These Days,country,The Sense,punk,These Days,hip hop
raw correlation,When The Lights Go Out,blues,Do You Know?,r&b/soul,Down And Dirty,blues,Superman Tonight,rock
raw correlation,Have Love Will Travel,blues,Somewhere In Time,jazz,My Forfeit,metal,I Feel Love,pop
raw correlation,C.C. Rider,blues,Angelina,latin,Can't You See,pop,Down And Dirty,blues
raw correlation,I Got a Woman,blues,Passin' Me By,hip hop,Haywire,country,Empress,reggae
raw correlation,The Sun's Gonna Shine Again,blues,Devil Got My Woman,blues,The Way You Treated Me (You're Gonna Be Sorry),blues,Interlude 1,r&b/soul
raw correlation,Losing Hand,blues,Heroine,folk,Lollipop,hip hop,Baby,folk
raw correlation,Nobody But Me (Album Version),blues,I Ain't Never,country,Love Don't Love You (LP Version),r&b/soul,Let's Go,jazz
raw correlation,A Sunday Kind of Love,blues,And Roses And Roses,jazz,Fearless Love,rock,Fistful Of Diamonds,metal
raw correlation,I Just Want To Make Love To You,blues,I Just Want To Make Love To You,blues,Love Struck,r&b/soul,Want You_ Miss You_ Love You,latin
raw correlation,My Dearest Darling,blues,Endless love,country,Snowflakes,r&b/soul,Breakin' My Heart (Pretty Brown Eyes),r&b/soul
raw correlation,W.O.M.A.N.,blues,Perfect Stranger,metal,Givin' Up (Clean Version),rock,Shimmy_ Shimmy_ Ko-Ko-Bop (Single Version),latin
raw correlation,Alberta,blues,Lovely To See You,pop,Down And Dirty,blues,Theme From Mahagony (Do You Know Where You're Going To),electronic
raw correlation,Before You Accuse Me (Take A Look At Yourself),blues,Before You Accuse Me,blues,Preacher On A Sunday Morning,hip hop,You Had Me (Live),r&b/soul
raw correlation,Early In The Morning,blues,Broken Buildings,rock,Me And The Devil,blues,The Moor,metal
raw correlation,Floating Bridge,blues,Hurt Me Soul (Explicit Album Version),hip hop,About Cell Block #9,blues,Feel Me,hip hop
raw correlation,Kind Hearted Woman Blues (Album Version),blues,Kindhearted Woman Blues,blues,Breakin Me,blues,Black Magic Woman,blues
raw correlation,That's All (Album Version),classical,Fascination (Album Version),jazz,One Man Drinking Games,punk,All My Love,r&b/soul
raw correlation,America (Revised Live Version),classical,America,folk,All For One (Explicit) (2006 Remastered LP Version),hip hop,The Irony Of It All (Album Version),electronic
raw correlation,Broken Vow (Album Version),classical,Broken Vow,classical,Overcome,r&b/soul,Everytime I...,r&b/soul
raw correlation,Gira Con Me Questa Notte (Album Version),classical,Istruzioni Per L'(Ill)uso,hip hop,Roma Sogna,classical,Nord,jazz
raw correlation,Hymne A L'Amour (Album Version),classical,L'Homme De La Situation,pop,Tomber Le Masque,pop,A Tes Côtés,folk
raw correlation,It Came Upon A Midnight Clear (Album Version),classical,Sing,pop,Sing It,rock,Israel,classical
raw correlation,Let Me Fall (From Cirque du Soleil) (Album Version),classical,Let Me Out,rock,Come Take Me Over,pop,Let The Chips Fall,country
raw correlation,Mi Mancherai (Il Postino) (Revised Live Version),classical,Adagio,classical,Musica,classical,Il Pugile Sentimentale ( Live ),folk
raw correlation,My Confession (Album Version),classical,I Understand,punk,Book Of Life,hip hop,Don't Change Your Plans,rock
raw correlation,Oceano (Revised Live Version),classical,Niente Per Scontato,electronic,Mamma,classical,Bellamore,classical
raw correlation,Remember When It Rained (Album Version),classical,The Day I Lost My Voice (The Suitcase Song),rock,I Can't Function,rock,Orange Blossoms In Summertime,jazz
raw correlation,Remember When It Rained (Revised Live Version),classical,The Day I Lost My Voice (The Suitcase Song),rock,I Can't Function,rock,Orange Blossoms In Summertime,jazz
raw correlation,Smile,classical,Learn To Fly,pop,Spitfall,metal,Jack_ You're Dead!,blues
raw correlation,Solo Por Ti (Album Version),classical,Solo Por Bailar,pop,League Chicanos,latin,De Camino a la Vereda,latin
raw correlation,Un Giorno Per Noi (Album Version),classical,Oggi,jazz,Sana E Robusta,hip hop,L'Attesa,classical
raw correlation,Vincent (Starry_ Starry Night) (Album Version),classical,Colony,folk,Nausea,metal,Interlude 5,r&b/soul
raw correlation,When You Say You Love Me (Album Version),classical,North Dakota,country,Go On Ahead,rock,Hurts The Most,r&b/soul
raw correlation,You Raise Me Up (Album Version),classical,You Raise Me Up,classical,All Around Me,classical,Therapy,punk
raw correlation,Believe (Album Version),classical,Phoenix From The Fire,folk,Alfie,pop,Spitfall,metal
raw correlation,Away In A Manger,classical,Away In A Manger,jazz,Raio No Terrasu (Jesus Wept),electronic,Matty Groves,folk
raw correlation,Cinema Paradiso (Se) (Album Version),classical,La Promesa,classical,Se Tu Non Sei Lei,classical,Oggi,jazz
raw correlation,All Around Me,classical,Asleep,folk,Bitch,jazz,Kraken,metal
raw correlation,Black Opera,classical,Revenge,metal,Brooklyn Zoo,hip hop,To Be With You Again,pop
raw correlation,Baal's Hymn,classical,The Fine Print,hip hop,Anarchist Bookstore part 1,hip hop,Architecture II,classical
raw correlation,Adagio,classical,Adagio,classical,Mamma,classical,Tristesse,classical
raw correlation,Adeste Fideles,classical,Maria & Jag,pop,Out On The Western Plain,blues,Belladonna,punk
raw correlation,All By Myself (Solo Otra Vez),classical,Mi Vida Sin Tu Amor,latin,Mienteme Otra Véz,latin,Otra Vez,latin
raw correlation,Amazing Grace,classical,Amazing Grace,classical,Heavily Sedated,metal,Rugged Road,blues
raw correlation,Angelina,classical,El Camino Del Exceso,rock,Sonrisa especial,latin,Abre tu puerta (y cruza el universo),hip hop
raw correlation,Ave Maria,classical,Roma Sogna,classical,Fili,rock,Dolce Veneno,classical
raw correlation,Caruso,classical,Caruso,classical,Istruzioni Per L'(Ill)uso,hip hop,La Canzone Dell' Impossibile,jazz
raw correlation,Come Primavera,classical,Spente Le Stelle,classical,Istruzioni Per L'(Ill)uso,hip hop,Roma Sogna,classical
raw correlation,Dentro Un Altro Si,classical,L'Abbraccio,rock,Per combattere l'acne,folk,Oceano (Revised Live Version),classical
raw correlation,En Aranjuez Con Tu Amor,classical,Aranjuez Ma Pensee,classical,Mediterraneo,folk,Tu Y Yo,latin
raw correlation,Enamorado,classical,Te Amo,latin,Mi Vida Por Un Hombre,latin,De Oro,electronic
raw correlation,Esisti Dentro Me,classical,Tu Sonrisa,latin,Tú Sólo Tú,latin,Tu Sei,classical
raw correlation,Everytime I Look At You,classical,Broken Vow,classical,Broken Vow (Album Version),classical,Endless love,country
raw correlation,Feelings,classical,30 Anni Che Non Ci Vediamo,rock,Niente Per Scontato,electronic,I've Grown Accustomed To Her Face,jazz
raw correlation,Hallelujah (Aleluya),classical,El 28,pop,Buenaventura Y Caney,latin,Cantando,hip hop
raw correlation,Hasta Mi Final,classical,Te Amo,latin,De Oro,electronic,Clemencia,latin
raw correlation,Crazier,country,Higher,r&b/soul,Between A Mother And A Child,country,You Made Me Feel,country
raw correlation,Fifteen,country,In 2 Deep,reggae,Nausea,metal,Double Shadow,electronic
raw correlation,Change,country,Manhattan,jazz,Destination: Death or Better Days,metal,Side By Side,jazz
raw correlation,You Can't Read My Mind,country,Club Megamix,rock,Don't Worry,r&b/soul,Bizarre Love Triangle,electronic
raw correlation,Man In White,country,Riverboat,country,Snoopafella (Edited),hip hop,El Paso,rock
raw correlation,Holes,country,Lesson In Survival  (LP Version),folk,Heavily Sedated,metal,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw correlation,Baby Girl,country,Stuck In The Middle With You (Non-Album Track),jazz,Promise Broken,country,Hot Sex,hip hop
raw correlation,Growin' Up Down There,country,The Irony Of It All (Album Version),electronic,Sex,hip hop,That's Life,jazz
raw correlation,Hangin' Around,country,Fever Moon,folk,Irresistible ( LP Version ),pop,I Wouldn't Change You If I Could,country
raw correlation,Here I Am,country,Shovel,hip hop,Stuck In The Middle With You (Non-Album Track),jazz,Closer To You,electronic
raw correlation,She's Got A Way With Me,country,Haywire,country,Hair,hip hop,Something In The Way She Moves,folk
raw correlation,That's How Country Boys Roll,country,The Molly Maguires,folk,Good Rats (Live),reggae,False Profits,rock
raw correlation,Where The Girls Are,country,Where Are You?,punk,Legions,rock,Wondering Where The Lions Are,jazz
raw correlation,Daddy Sang Bass,country,Will the Circle Be Unbroken?,folk,Immortal Chant,metal,Brothers Under The Bridges ('83),rock
raw correlation,I Don't Know Where I'm Bound,country,I Am Not A Whore,electronic,Fallin',electronic,16,pop
raw correlation,I Was There When It Happened,country,Book Of Life,hip hop,Lovebite,pop,Hurt Me Soul (Explicit Album Version),hip hop
raw correlation,The Big Battle,country,Loki Trickster God,metal,I'm On The Mic,reggae,The Lightning Strike,rock
raw correlation,A Thing Called Love,country,My Time,folk,Broken Heart,country,Mars Attacks,hip hop
raw correlation,You Dreamer You,country,Tool,pop,I fantasize of you,electronic,Get Sick Soon,folk
raw correlation,I Walk The Line,country,Holdin' On [Missin' U] (Album Version),r&b/soul,Don't Change Your Plans,rock,Everytime I...,r&b/soul
raw correlation,Life's Railway To Heaven,country,The Lords Prayer,classical,The Prayer,classical,Kingdom of Loss,metal
raw correlation,If I Had Wings,country,Intermission,punk,Runaway,hip hop,Here I Go Again,folk
raw correlation,Pray About Everything,country,One More Day,country,Stay While The Night Is Young,blues,Life It What It Is (Remastered LP Version),pop
raw correlation,Your Everything,country,It's All Up To You,r&b/soul,Whisper of Angels,classical,Closer To You,electronic
raw correlation,A Little Too Late,country,Little Lucy,rock,My Little Tragedy,electronic,Too Late,blues
raw correlation,Who's Your Daddy?,country,Who's Zoomin' Who?,r&b/soul,Cancel (Album Version),r&b/soul,Your Fire Your Soul,folk
raw correlation,A Woman's Touch,country,The Greatest Man In America,folk,Anarchist Bookstore part 1,hip hop,Oklahoma,country
raw correlation,Big Ol' Truck,country,She's In Love,country,Magic,rock,Spanish Harlem (LP Version),r&b/soul
raw correlation,Blue Bedroom,country,Only You,r&b/soul,Boxcutter Rap,hip hop,Suburban Ranger,rock
raw correlation,It's All Good,country,Flow On (Move Me No Mountain),hip hop,our ethos: a legacy to pass on,metal,LBC And The ING (Explicit),hip hop
raw correlation,Sweet,country,Book Of Life,hip hop,I'm,hip hop,Claimin' True,hip hop
raw correlation,You Shouldn't Kiss Me Like This,country,Interlude 5,r&b/soul,I Never Complain,punk,Stumble,pop
raw correlation,A Real Fine Place To Start,country,I'm Catching Hell (Living Here Alone) (Digitally Remastered 02),jazz,Sweet Leaf,metal,Sex Packets (LP Version),hip hop
raw correlation,Endless love,country,Get Sick Soon,folk,I Still Love You,r&b/soul,Seven Seas,r&b/soul
raw correlation,Love Gets In The Way (Album Version),country,Whispers,pop,Stranger In Paradise,r&b/soul,The Way It Is,reggae
raw correlation,I'd Like To Have That One Back,country,Intermission,punk,My Little Girl,blues,Electric Lady,r&b/soul
raw correlation,Marina Del Rey,country,Dead Spaces,metal,Sally's Pigeons,pop,Spanish Harlem (LP Version),r&b/soul
raw correlation,Milk Cow Blues,country,Revenge,metal,Never Gonna Give You Up,r&b/soul,My Darling,hip hop
raw correlation,Another Try,country,When I'm Gone,blues,Killin' Time,country,Blowin' Smoke,country
raw correlation,As Fast As I Could,country,Book Of Life,hip hop,That's How I Beat Shaq,pop,Everytime I...,r&b/soul
raw correlation,One More Time / Aerodynamic,electronic,Take Me Up,metal,Midnight Bottle,pop,In This Together,electronic
raw correlation,One More Time (Romanthony's Unplugged),electronic,One More Time,electronic,Come Back Baby,blues,One Love At A Time,jazz
raw correlation,Touch It / Technologic,electronic,Whip It,pop,It's De-Lovely,jazz,It's Too Good To Talk About Now,jazz
raw correlation,Boots &  Boys,electronic,Overcome,pop,I And You,rock,Pray For Me,country
raw correlation,Animal,electronic,Lovely Thing,pop,Intro,reggae,Complicated,country
raw correlation,Hot N Cold (Innerpartysystem Main),electronic,Delicious,pop,You're A Soldier,rock,You're The Top,jazz
raw correlation,Captains and Cruise Ships,electronic,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Excuse You,hip hop,Fever Moon,folk
raw correlation,Designer Skyline,electronic,Viva ! blunt force trauma,metal,Snowbirds And Townies,punk,Out of the sun,metal
raw correlation,Early Birdie,electronic,The Irony Of It All (Album Version),electronic,Ten Toes Tall,hip hop,How We Do,r&b/soul
raw correlation,Meteor Shower,electronic,Soobax,hip hop,I Don't Need This,electronic,Keep Moving,hip hop
raw correlation,This Is The Future,electronic,Disgrace (Unholy Remix),classical,Fat And Alone,rock,Spitfall,metal
raw correlation,Kings and Queens (Innerpartysystem Remix Main),electronic,Goons of Hazzard,punk,Black Milk,electronic,Tyrants,metal
raw correlation,Bounce,electronic,Claimin' True,hip hop,Soopaman Luva 3,hip hop,We Brings Heat,hip hop
raw correlation,Vanished,electronic,Cheatin',rock,She's On Drugs,rock,We Don't Need You,punk
raw correlation,Xxzxcuzx,electronic,Kinky Sex Makes the World Go 'Round,punk,The Place We Dwell,hip hop,Tea For Two (Featuring Jimmy Scott),jazz
raw correlation,Die Another Day [Live],electronic,Cynically Depressed,punk,School Days,punk,I'll Die,r&b/soul
raw correlation,Perfect (Nellee Hooper Instrumental),electronic,Ship Jumper,punk,Dude_ What Is a Land Pirate?,punk,We Are In Love,jazz
raw correlation,Love At First Sight (The Scumfrog's Beauty And The Beast Vocal Edit),electronic,Delirious Love,folk,Hear Me Lord,blues,Cruisin',r&b/soul
raw correlation,I Am Not A Whore,electronic,Not A Heel,folk,Hunter,electronic,Bitch,jazz
raw correlation,Fever,electronic,Whip It,pop,Corruption,punk,Save It,rock
raw correlation,Freestate,electronic,Firefly (LP Version),rock,Cancel (Album Version),r&b/soul,Brother Sport,latin
raw correlation,Personal Jesus,electronic,Personal Jesus,metal,Just What Can Happen,hip hop,Hold You,reggae
raw correlation,Broken,electronic,The Circus,pop,Magical,hip hop,Operation Rescue,punk
raw correlation,Kids With Guns (Quiet Village Remix),electronic,Touch It / Technologic,electronic,Doesn't Make It Alright,reggae,Whip It,pop
raw correlation,Rhinestone Eyes,electronic,Bump,hip hop,Peace_ Prosperity & Paper,hip hop,Flow On (Move Me No Mountain),hip hop
raw correlation,Invaders Must Die,electronic,Popkultur / Meide,electronic,Immersed In Pain,metal,We'll Never Die,pop
raw correlation,Wake Up Call (Album Version),electronic,Undertaker,country,Come Back When It Ain't Rainin',country,Strike It Up,electronic
raw correlation,We Gonna Rock,electronic,Rock Lobster (Live),electronic,Good Times,country,Convoy,country
raw correlation,The Great Collapse,electronic,A Floater Left With Pleasure In The Executive Washroom.,punk,Day Like This,punk,C.O.A.,electronic
raw correlation,Electric Barbarella (Radio Edit),electronic,Epilogue,rock,Famous Blue Raincoat,folk,She's The Source,rock
raw correlation,Pluto,electronic,Wasteland,metal,Pardon Me,rock,Birds Of Paradise,electronic
raw correlation,Delta Bay,electronic,Down In The Alley,blues,The What,hip hop,Unintended Long Term Effects,punk
raw correlation,We Are The People (Shazam Remix),electronic,Revenge,metal,Rush,electronic,Irresistible ( LP Version ),pop
raw correlation,You Left Me,electronic,It's Too Late,pop,Touch Me,blues,Play With Fire,pop
raw correlation,The Warning,electronic,Hunter killer,metal,Waiting For The Day,r&b/soul,It's All Up To You,r&b/soul
raw correlation,Keep It On Ice,electronic,Captor Of Sin (Slayer Cover),metal,Lord Of Eternity,metal,Super Reality,metal
raw correlation,The Jester,electronic,Keep It Real,hip hop,You & I,hip hop,Flow On (Move Me No Mountain),hip hop
raw correlation,Lazy Days,electronic,Mistress Of Disguise,electronic,Swept Away,country,It's Okay To Think About Ending,electronic
raw correlation,Someone Said Goodbye,electronic,I Don't Know Why You Don't Want Me,country,I Don't Know Why I Love You,reggae,I Don't Know That You Don't Know My Name (2004 Digital Remaster),blues
raw correlation,The Magic Of The Night,electronic,The Power Of Lard,punk,Lost,electronic,MAPS OF REALITY,pop
raw correlation,Gave It A Name,folk,Mr. E. Leon Rauis,rock,Ninja Of Love (Album Version),pop,Mongoloid,punk
raw correlation,The Vanishing Race,folk,The Ride Of The Valkyries,classical,Peaceful,pop,The Sound of Silence,folk
raw correlation,All We Ever Do Is Say Goodbye,folk,Don't Say Goodbye,r&b/soul,Goodbye,punk,Part Of The Process,electronic
raw correlation,Clarity,folk,Rubylove,folk,Honeymoon With You,pop,Dear Lover,r&b/soul
raw correlation,Why Georgia,folk,8 Mile,hip hop,Rabbit Run,hip hop,Book Of Life,hip hop
raw correlation,Mudfootball (For Moe Lerner),folk,More Pricks Than Kicks,folk,Devil,electronic,East Coast Fuck You,punk
raw correlation,Sister Winter,folk,Friends/Oh My My (LIve),folk,Tears of Laughter,punk,Waterloo,pop
raw correlation,In A Graveyard,folk,Gamma Ray,rock,Indulge In Frenzy,metal,And The World Shall Be Your Grave,metal
raw correlation,Baby,folk,I Think I Love You,reggae,I Still Love You,r&b/soul,Everytime I...,r&b/soul
raw correlation,Janglin,folk,Dead March,electronic,Goons of Hazzard,punk,We Are Detective,pop
raw correlation,Ballad In Plain D,folk,Electric Lady,r&b/soul,Birthday Card,hip hop,Caroline (Album Version),pop
raw correlation,One Of Us Must Know (Sooner Or Later),folk,I Try,r&b/soul,Chelsea Hotel #2,folk,Revenge,metal
raw correlation,It's Growing,folk,Big And Bad,jazz,Coal Black Horses,country,Shock Dat Monkey,r&b/soul
raw correlation,Oh_ Susannah (LP Version),folk,Snoopafella (Edited),hip hop,Act A Fool,hip hop,Shape I'm In,blues
raw correlation,Something In The Way She Moves,folk,Hair,hip hop,Got Some Teeth,hip hop,Passin' Me By,hip hop
raw correlation,Draw The Line,folk,Stand In Line,reggae,Farewell Ride,rock,California,country
raw correlation,Sail Away,folk,Angelica,latin,Nice & Slow,r&b/soul,Misled,rock
raw correlation,Stella The Artist,folk,Ballad In Plain D,folk,Vapors,hip hop,Song Of Lies,folk
raw correlation,Swing Life Away (Acoustic),folk,Soulmate,country,On the Outside,folk,Gas In My Car,reggae
raw correlation,Billy 4,folk,Spitfall,metal,The Dance,hip hop,Hollywood (So Far_ So Good),rock
raw correlation,Stuck Inside Of Mobile With The Memphis Blues Again,folk,Vapors,hip hop,Ridiculous,hip hop,Kill The President,punk
raw correlation,Pretty Peggy-O,folk,Mr. E. Leon Rauis,rock,Automatic Man (Album Version),punk,The Sanity Assassin,punk
raw correlation,She Belongs To Me,folk,She's Amazing,r&b/soul,She's Single Again,country,Addicted,country
raw correlation,When The Deal Goes Down,folk,Hold You,reggae,Shift Shape,hip hop,The Irony Of It All (Album Version),electronic
raw correlation,With God On Our Side,folk,Keep It Real,hip hop,We Brings Heat,hip hop,LBC And The ING (Explicit),hip hop
raw correlation,Terrapin,folk,Preacher On A Sunday Morning,hip hop,Only You,r&b/soul,Beautiful Dreamer,rock
raw correlation,On The 4th of July,folk,Moonlight Serenade,jazz,Showtape '91,electronic,The 4th Branch,hip hop
raw correlation,Company Man,folk,Can't You See,pop,Only You,r&b/soul,Nausea,metal
raw correlation,Ace,folk,Old Hippie,country,Possessed To Skate,metal,Wolfman Jack,hip hop
raw correlation,How Do You Keep Love Alive,folk,The Guns of Love Disastrous,rock,Buzzards of Love,folk,Can't You See,pop
raw correlation,When The Stars Go Blue,folk,Do You Know Where You're Going To,r&b/soul,Theme From Mahagony (Do You Know Where You're Going To),electronic,Superman Tonight,rock
raw correlation,Forever My Friend,folk,Judgement Hour,electronic,This Is Me (Acoustic Full Version),pop,Time to Lose,punk
raw correlation,How Come [Acoustic Mix],folk,Midnight Man,rock,Pace Is The Trick,rock,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw correlation,Chelsea Hotel #2,folk,Angelina,latin,Everybody Needs Somebody To Love,blues,One Of Us Must Know (Sooner Or Later),folk
raw correlation,Lethal Enforcer (Live From Union Chapel_ London),folk,Hook,blues,This Song Goes Out To (Album Version),punk,War Out Of Peace,folk
raw correlation,Change,folk,Pervert,electronic,Oooh,r&b/soul,More Than This,folk
raw correlation,Under The Weather,folk,Already Died,rock,Stranger,rock,Where I Stand,country
raw correlation,So Sister,folk,Hot Sex,hip hop,Oooh,r&b/soul,I Think I Love You,reggae
raw correlation,Lost Tonight,folk,Sexy,hip hop,Interlude 1,r&b/soul,I Know You Got Soul,hip hop
raw correlation,Sunnyside Of The Street,folk,In Parentheses,rock,Preachin' To The Choir,country,Book Of Life,hip hop
raw correlation,Can't Tell Me Nothing,hip hop,I La La La Love You,blues,India,classical,Very Special (LP Version),hip hop
raw correlation,Graduation Day,hip hop,Crossing the Boundary,hip hop,Revenge,metal,Angelina,latin
raw correlation,Wake Up Mr. West,hip hop,Looking For A Job,country,Angelina,latin,Down And Dirty,blues
raw correlation,A8,hip hop,Can't You See,pop,Everybody Needs Somebody To Love,blues,All About You,metal
raw correlation,Boom Boom Guetta,hip hop,Let's Get Crazy,hip hop,Getting Over You,r&b/soul,Fight (1994 Digital Remaster),rock
raw correlation,Communication,hip hop,Live On Stage,hip hop,Conant Gardens,hip hop,Flow On (Move Me No Mountain),hip hop
raw correlation,One Tribe,hip hop,One For The Mockingbird,rock,N30,punk,One Love / People Get Ready,reggae
raw correlation,Sexy,hip hop,Run The Show,r&b/soul,Stumble,pop,What's Your Problem,rock
raw correlation,Tell Your Momma Come,hip hop,Midnight Man,rock,Sounds Of Brutality,metal,Trans DF Express,r&b/soul
raw correlation,The Apl Song,hip hop,Keep It Real,hip hop,Fa Sho Fo Real,hip hop,Fucked Up,hip hop
raw correlation,Diamonds From Sierra Leone,hip hop,Onyx Is Back,hip hop,Web In Front,rock,All I Ever Think About,r&b/soul
raw correlation,If I Had,hip hop,I'm So Glad,blues,Freedom,hip hop,Concerto,hip hop
raw correlation,Ken Kaniff,hip hop,Cardiac Arrest,reggae,Voices In My Head,hip hop,Releasing Hypnotical Gases,hip hop
raw correlation,My Darling,hip hop,Fever Moon,folk,Revenge,metal,Underdrive,rock
raw correlation,8 Mile,hip hop,Book Of Life,hip hop,Gotta Get Over (Taking Loot) (Explicit),hip hop,It's Like That,jazz
raw correlation,Love Was Here,hip hop,You're Coming Home,blues,Naked,r&b/soul,Coming Back,rock
raw correlation,Be With You,hip hop,Revenge,metal,With You,metal,Could It Be I'm Falling In Love,r&b/soul
raw correlation,Locked Up,hip hop,When I Get To Heaven (Remix) (Explicit),hip hop,Let Me Out,rock,Nasty Habits,blues
raw correlation,So Ghetto,hip hop,lucky to be me,jazz,Keep Moving,hip hop,Best Friend,r&b/soul
raw correlation,Heart Of The City (Ain't No Love),hip hop,Club Megamix,rock,Best Friend,r&b/soul,Ten Toes Tall,hip hop
raw correlation,Rabbit Run,hip hop,Book Of Life,hip hop,Preachin' To The Choir,country,Soopaman Luva 3,hip hop
raw correlation,Splurge,hip hop,I'm,hip hop,Bad Mutha,hip hop,Revenge,metal
raw correlation,St. Louie,hip hop,From What I Was Told,hip hop,Safe + Sound,hip hop,Run Around,blues
raw correlation,Wrap Sumden,hip hop,I'm,hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Ten Toes Tall,hip hop
raw correlation,Soon You'll Understand,hip hop,Revenge,metal,Between A Mother And A Child,country,Angelina,latin
raw correlation,Encore,hip hop,Tell Me (Acoustic),folk,Stumble,pop,So What'Cha Want (Butt Naked Version) (Explicit) (2009 Digital Remaster),hip hop
raw correlation,Say Now,hip hop,The Red Plains,folk,Online Songs,punk,Here Comes The Hotstepper,reggae
raw correlation,Been There Done That,hip hop,Live Foul,hip hop,Keep It Real,hip hop,Claimin' True,hip hop
raw correlation,Magical,hip hop,Supernatural Thing Part 1,r&b/soul,Love Don't Live Here,electronic,A Deeper Love,r&b/soul
raw correlation,Over,hip hop,Do It Again,jazz,Bright Young Thing,rock,Do It Again,pop
raw correlation,Wrap U Around Me,hip hop,Peel Me A Grape,jazz,He Loves Me (Lyzel In E Flat),r&b/soul,Be Your Husband,blues
raw correlation,Paper Planes,hip hop,All For One (Explicit) (2006 Remastered LP Version),hip hop,I'm,hip hop,I Fought The Law,punk
raw correlation,Set It Off,hip hop,Out Of Sight,r&b/soul,LET's GIT IT ON,hip hop,Miracle Mile,country
raw correlation,Ho,hip hop,Mambo Swing,jazz,Up On The House Top,country,Live On Mars,punk
raw correlation,The What,hip hop,That's What It Is,hip hop,Mars Attacks,hip hop,Bubble Music,hip hop
raw correlation,Rowdy Rowdy,hip hop,Da Mystery Of Chessboxin',hip hop,The Fire In Which You Burn (feat. J-Treds & The Brewin From The Juggaknots),hip hop,You Do_ I Do,hip hop
raw correlation,Bang Out,hip hop,Uzi,hip hop,Clifton,hip hop,Ten Toes Tall,hip hop
raw correlation,Snoopafella (Edited),hip hop,Goodbye,jazz,Act A Fool,hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw correlation,Hair,hip hop,What's On Your Mind,hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Birthday Card,hip hop
raw correlation,Happymess,hip hop,You & I,hip hop,Bad Mutha,hip hop,I'm,hip hop
raw correlation,Put Your Head On My Shoulder (Album Version),jazz,Kiss And Tell,r&b/soul,Hypnotize Me,pop,Tell Me,r&b/soul
raw correlation,Stuck In The Middle With You (Non-Album Track),jazz,Rotten Apple Pie,hip hop,Hot Sex,hip hop,I'm,hip hop
raw correlation,You'll Never Find Another Love Like Mine (Album Version),jazz,When She's Gone,folk,You Are My Destiny,jazz,Falling Star,r&b/soul
raw correlation,Kiss me baby,jazz,All Night Long,jazz,I'm Looking For A Woman,blues,Late Last Night,blues
raw correlation,Let's Go,jazz,Play With Fire,pop,You Don't Know Me,jazz,You Don't Know Me,jazz
raw correlation,Moon Over Miami,jazz,Charmed Life,jazz,Heart of a Dragon,metal,Lullaby Of Birdland,jazz
